brand_canonical,issue_vector,review_count
Ariel,Communication,10
Ariel,Packaging,438
Ariel,Product,2041
Ariel,Retail Execution,252
Ariel,Unknown,3527
Ariel,Value,68
Breeze,Communication,5
Breeze,Packaging,357
Breeze,Product,1925
Breeze,Retail Execution,208
Breeze,Unknown,3787
Breeze,Value,55
Calla,Packaging,2
Calla,Product,48
Calla,Retail Execution,11
Calla,Unknown,61
Champion,Communication,34
Champion,Packaging,40
Champion,Product,650
Champion,Retail Execution,88
Champion,Unknown,1189
Champion,Value,18
Downy,Communication,5
Downy,Packaging,142
Downy,Product,737
Downy,Retail Execution,190
Downy,Unknown,1653
Downy,Value,38
Surf,Communication,3
Surf,Packaging,389
Surf,Product,1775
Surf,Retail Execution,244
Surf,Unknown,3695
Surf,Value,63
Tide,Communication,3
Tide,Packaging,89
Tide,Product,438
Tide,Retail Execution,77
Tide,Unknown,836
Tide,Value,8
Unknown,Communication,145
Unknown,Packaging,1151
Unknown,Product,14911
Unknown,Retail Execution,2419
Unknown,Unknown,25599
Unknown,Value,322
