retailerName,market,site,productName,category,subcategory,brand,retailerProductCode,upc,manufacturer,productUrl,additionalProductDescription,ingredients,productImageUrl,dateFirstAvailable,dateAddedToCatalog,numberOfReviews,productRating,aboutThisItem,internalReviewId,retailerReviewId,reviewDate,reviewDateISO,reviewRating,reviewTitle,reviewText,parentOrChild,reviewUrl,reviewType,verifiedPurchase,helpfulReviewCount,reviewCustomerImages,productName_clean,brand_clean,category_clean,subcategory_clean,reviewText_clean,review_date,dateAddedToCatalog_clean,verified_purchase_flag,has_text,has_image,low_rating_flag,is_review_row,brand_canonical,relevance_flag
Lazada,PH,lazada.com.ph,Purex Crystals Fresh Vibes Odor Stop Fragrance Booster 439g,Fabric Care,Fabric Enhancer,PUREX Technology,3198680668,,,https://www.lazada.com.ph/products/purex-crystals-fresh-vibes-odor-stop-fragrance-booster-439g-i3198680668.html,,,https://filebroker-cdn.lazada.com.ph/kf/S2dcee9f0bce9448fba9ba78979f51b4aM.jpg,,2023-09-20,2,5.0,New Purex Crystals Fresh Vibes variant uses odor stop technology to help eliminate pesky food and body odors. so you can live your life to the freshest | Purex Crystals is an in-wash fragrance booster. which provides freshness that lasts for weeks. Use a little or a lot. directly in the laundry! | Add Purex Crystals to the start of the wash cycle with detergent. It spends more time with your laundry injecting it with a fresh scent that lasts for weeks. not days. | Safe for all loads including towels. active wear. and children's sleepwear | Includes four 15.5-ounce bottles of Purex Fresh Vibes in-wash fragrance booster,,,,,,,,,,,,,,purex crystals fresh vibes odor stop fragrance booster 439g,purex technology,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Fabric Softener 1600ml ( Korean Pigeon Blue Black Fabric Softener),Fabric Care,Fabric Enhancer,Pigeon,2727344155,,,https://www.lazada.com.ph/products/fabric-softener-1600ml-korean-pigeon-blue-black-fabric-softener-i2727344155.html,,,https://filebroker-cdn.lazada.com.ph/kf/Sd89c46c240ec4c3e803060ab1699b744N.jpg,,2023-09-20,2,4.5,,,,,,,,,,,,,,,fabric softener 1600ml ( korean pigeon blue black fabric softener),pigeon,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Surf Rose Fresh Laundry Liquid Detergent 900ML Pouch,Fabric Care,Laundry Detergents,Surf,2225871947,,,https://www.lazada.com.ph/products/surf-rose-fresh-laundry-liquid-detergent-900ml-pouch-i2225871947.html,,,https://ph-live-01.slatic.net/p/061292eb812d42d9fc5faac4b7624f34.jpg,,2023-09-20,2795,4.988550983899821,Surf Laundry Liquid Detergent Cherry Blossom with Ultra Power for Washing Machine | * Laundry liquid detergent formulated to have UP TO 2X NUOT-LINIS POWER. for great clean and unbeatable freshness | * Will make your clothes smell clean and fresh. thanks to its floral scent | * Mabisa sa stain-removal. ipahid at ipatak ang laundry detergent sa damit | * Best for topload washing machines and can also be used for handwash | * Can be used on white and colored clothes,,,,,,,,,,,,,,surf rose fresh laundry liquid detergent 900ml pouch,surf,fabric care,laundry detergents,,,2023-09-20,,0,0,0,0,Surf,relevant
Lazada,PH,lazada.com.ph,JN Laundry Scent Booster Beads Scent Perfume Fabric Conditioner 200g In Wash Clothes Odors Removal Clothing Softener Diffuser Long Lasting Lavender Rose Calming Aroma,Fabric Care,Fabric Enhancer,JN,3683541413,,,https://www.lazada.com.ph/products/jn-laundry-scent-booster-beads-scent-perfume-fabric-conditioner-200g-in-wash-clothes-odors-removal-clothing-softener-diffuser-long-lasting-lavender-rose-calming-aroma-i3683541413.html,,,https://ph-live-01.slatic.net/p/2761c76539b32b185d82b4d8fd4e0813.jpg,,2023-09-20,13,4.923076923076923,brand:JN,,,,,,,,,,,,,,jn laundry scent booster beads scent perfume fabric conditioner 200g in wash clothes odors removal clothing softener diffuser long lasting lavender rose calming aroma,jn,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Bounce Outdoor Fresh Dyer Sheets 160pcs,Fabric Care,Fabric Enhancer,Bounce,2699865649,,,https://www.lazada.com.ph/products/bounce-outdoor-fresh-dyer-sheets-160pcs-i2699865649.html,,,https://filebroker-cdn.lazada.com.ph/kf/S1f8c9c6c42284d1f8c4eaed6c2c11394g.jpg,,2023-09-20,5,5.0,Single Item | Dryer Sheets in 1 box | Toss away wrinkles & static | Easy to use | Product of USA,,,,,,,,,,,,,,bounce outdoor fresh dyer sheets 160pcs,bounce,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Ambi Pur Fabric Refresher Anti bacterial Spray 370ml,Fabric Care,Fabric Enhancer,Ambi Pur,2115792999,,,https://www.lazada.com.ph/products/ambi-pur-fabric-refresher-anti-bacterial-spray-370ml-i2115792999.html,,,https://ph-live-01.slatic.net/p/ae0c40da0618ec7daa31138558354b5e.jpg,,2023-09-20,2,5.0,,,,,,,,,,,,,,,ambi pur fabric refresher anti bacterial spray 370ml,ambi pur,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Glide Ironing Aid Powder Pure Easy Iron Spray 500mL,Fabric Care,Fabric Enhancer,Glide,1894379899,,,https://www.lazada.com.ph/products/glide-ironing-aid-powder-pure-easy-iron-spray-500ml-i1894379899.html,,,https://ph-live-01.slatic.net/p/d8b2cfee42e4cd0a1b014270a8ed5523.jpg,,2023-09-20,5,4.666666666666667,Glide Ironing Aid Powder Pure Easy Iron Spray 500mL | makes ironing faster and easier. By reducing ironing time. you save on electricity bills and get to spend more time on other important matters. It has a heat-activated Fabric Protect formula that leaves an invisible. protective film on clothes to prevent stains and dirt from being easily absorbed by fabrics. | Please Message us first before you place your order to confirm if the items are available. | You can message us for inquiries | Seller is not responsible for any damaged during transit or delayed delivery of items. Hope you understand.,,,,,,,,,,,,,,glide ironing aid powder pure easy iron spray 500ml,glide,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,YMS Pride Detergent Bar Soap (KALAMANSI & JASMIN) 400Grams,Fabric Care,Fabric Enhancer,No Brand,1082936387,,,https://www.lazada.com.ph/products/yms-pride-detergent-bar-soap-kalamansi-jasmin-400grams-i1082936387.html,,,https://ph-live-01.slatic.net/p/94e73599e935a4da9dfff4a63b66c4d5.jpg,,2023-09-20,5,5.0,Pride Bar with KALAMANSI JASMIN has stain away formula that removes dirt and stain that ordinary detergents leave behind. | It has power whitener that maintains whiteness of white clothes and brightness of colored clothes. | It has fabric softening ingredient that makes clothes soft and prevents dirt from redepositing into the fabric during the wash.,,,,,,,,,,,,,,yms pride detergent bar soap (kalamansi & jasmin) 400grams,no brand,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Glide Ironing Aid Powder Pure Starch 240mL x3,Fabric Care,Fabric Enhancer,Glide,1894914510,,,https://www.lazada.com.ph/products/glide-ironing-aid-powder-pure-starch-240ml-x3-i1894914510.html,,,https://ph-live-01.slatic.net/p/7757d6a97776549247f1af05e6ef5ab4.jpg,,2023-09-20,17,5.0,Glide Ironing Aid Powder Pure Starch 240mL x3 | is specially formulated with Pro-Form Active that provides form and body. making your clothes crisp and smart-looking all day. | It has a unique formula that keeps clothes wrinkle-free for a long time. | Please Message us first before you place your order to confirm if the items are available. | You can message us for inquiries | Seller is not responsible for any damaged during transit or delayed delivery of items. Hope you understand. | If you're satisfied with our products and services. Kindly leave us a | If you're not satisfied. please don't hesitate to contact us. we are happy to help you.,,,,,,,,,,,,,,glide ironing aid powder pure starch 240ml x3,glide,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Febreze Unstopables Fabric Spray Paradise Scent 800mL,Fabric Care,Fabric Enhancer,Febreze,3995536017,,,https://www.lazada.com.ph/products/febreze-unstopables-fabric-spray-paradise-scent-800ml-i3995536017.html,,,https://ph-live-01.slatic.net/p/c1f73879e785b95cba294ef1697f54fd.jpg,,2023-09-20,6,5.0,Single Item | No dyes | No phthalates | No formaldehyde | Packaging may vary depending on stock availability,,,,,,,,,,,,,,febreze unstopables fabric spray paradise scent 800ml,febreze,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
