column,null_percent
retailerReviewId,100.0
dateFirstAvailable,100.0
reviewTitle,100.0
ingredients,100.0
additionalProductDescription,100.0
upc,100.0
manufacturer,100.0
helpfulReviewCount,99.64558702954322
reviewCustomerImages,57.291914623502336
aboutThisItem,41.158189848977756
reviewText,25.765029490332992
verifiedPurchase,2.6157793118040678
reviewUrl,2.6118120024332834
parentOrChild,2.552302361871512
reviewType,2.552302361871512
reviewRating,2.552302361871512
reviewDateISO,2.552302361871512
reviewDate,2.552302361871512
internalReviewId,2.552302361871512
brand,0.10315004364040309
retailerName,0.0
productRating,0.0
market,0.0
dateAddedToCatalog,0.0
productImageUrl,0.0
productUrl,0.0
retailerProductCode,0.0
subcategory,0.0
category,0.0
productName,0.0
site,0.0
numberOfReviews,0.0
