legacy_row,legacy_key,new_ref,runtime_key,group,context,source_file,source_line,source_ref
2,battle.action.attack,battle.action.attack,battle.action.attack,battle,Loc_T fallback in Create_0,objects/obj_battle_controller/Create_0.gml,77,Create_0:77
3,battle.action.create_0.103.0,battle.action.create_0.103.0,battle.action.create_0.103.0,battle.action,Create_0 UI/message text,objects/obj_battle_controller/Create_0.gml,103,Create_0:103
4,battle.action.create_0.103.1,battle.action.create_0.103.1,battle.action.create_0.103.1,battle.action,Create_0 UI/message text,objects/obj_battle_controller/Create_0.gml,103,Create_0:103
5,battle.action.item,battle.action.item,battle.action.item,battle,Loc_T fallback in Create_0,objects/obj_battle_controller/Create_0.gml,79,Create_0:79
6,battle.action.run,battle.action.run,battle.action.run,battle,Loc_T fallback in Create_0,objects/obj_battle_controller/Create_0.gml,80,Create_0:80
7,battle.action.skill,battle.action.skill,battle.action.skill,battle,Loc_T fallback in Create_0,objects/obj_battle_controller/Create_0.gml,78,Create_0:78
8,battle.action.timing.bad,battle.action.timing.bad,battle.action.timing.bad,battle,Loc_T fallback in Battle_AttackTimingJudge,scripts/scr_combat/scr_combat.gml,382,Battle_AttackTimingJudge:382
9,battle.action.timing.good,battle.action.timing.good,battle.action.timing.good,battle,Loc_T fallback in Battle_AttackTimingJudge,scripts/scr_combat/scr_combat.gml,380,Battle_AttackTimingJudge:380
10,battle.action.timing.miss,battle.action.timing.miss,battle.action.timing.miss,battle,Loc_T fallback in Battle_AttackTimingJudge,scripts/scr_combat/scr_combat.gml,383,Battle_AttackTimingJudge:383
11,battle.action.timing.okay,battle.action.timing.okay,battle.action.timing.okay,battle,Loc_T fallback in Battle_AttackTimingJudge,scripts/scr_combat/scr_combat.gml,381,Battle_AttackTimingJudge:381
12,battle.action.timing.perfect,battle.action.timing.perfect,battle.action.timing.perfect,battle,Loc_T fallback in Battle_AttackTimingJudge,scripts/scr_combat/scr_combat.gml,379,Battle_AttackTimingJudge:379
13,battle.menu.back,battle.menu.back,battle.menu.back,battle,Loc_T fallback in Draw_64,objects/obj_battle_controller/Draw_64.gml,362,Draw_64:362
14,battle.menu.draw_64.362.0,battle.menu.draw_64.362.0,battle.menu.draw_64.362.0,battle.menu,Draw_64 UI/message text,objects/obj_battle_controller/Draw_64.gml,362,Draw_64:362
15,battle.menu.draw_64.362.1,battle.menu.draw_64.362.1,battle.menu.draw_64.362.1,battle.menu,Draw_64 UI/message text,objects/obj_battle_controller/Draw_64.gml,362,Draw_64:362
16,battle.menu.draw_64.371.0,battle.menu.draw_64.371.0,battle.menu.draw_64.371.0,battle.menu,Draw_64 UI/message text,objects/obj_battle_controller/Draw_64.gml,371,Draw_64:371
17,battle.menu.draw_64.371.1,battle.menu.draw_64.371.1,battle.menu.draw_64.371.1,battle.menu,Draw_64 UI/message text,objects/obj_battle_controller/Draw_64.gml,371,Draw_64:371
18,battle.menu.draw_64.393.0,battle.menu.draw_64.393.0,battle.menu.draw_64.393.0,battle.menu,Draw_64 UI/message text,objects/obj_battle_controller/Draw_64.gml,393,Draw_64:393
19,battle.menu.draw_64.393.1,battle.menu.draw_64.393.1,battle.menu.draw_64.393.1,battle.menu,Draw_64 UI/message text,objects/obj_battle_controller/Draw_64.gml,393,Draw_64:393
